Ref	ID	Name
91	18318842	Abyss Soldier
92	97232518	Abyss Stungray
93	88409165	Abyss Warrior
94	19596712	Abyss-scale of Cetus
95	8719957	Abyss-scale of the Kraken
96	72932673	Abyss-scale of the Mizuchi
97	79206750	Abyss-scorn
98	60202749	Abyss-sphere
99	34707034	Abyss-squall
100	81878201	Abyss-sting Triaina
101	97697447	Abyss-strom
102	63941169	Abyss-team
103	89801755	Abyssal Designator
104	44223284	Abyssal Kingshark
105	17080584	"Abyssrhine, the Atlantean Spirit"
106	9453320	"Abysstrite, the Atlantean Spirit"
107	30983281	Accel Synchro Stardust Dragon
108	37675907	Accel Synchron
109	34838437	Accellight
110	86066372	Accesscode Talker
111	98444741	Accumulated Fortune
112	10796448	Ace?Spades Speculation
113	98865920	Achacha Archer
114	62476197	Achacha Chanbara
115	15808381	Achichi @Ignister
116	77568553	Acid Crawler
117	21323861	Acid Rain
118	41356845	Acid Trap Hole
119	35956022	Acidic Downpour
120	21051977	Acorno
121	47372349	Acrobat Monkey
122	33656832	Acrobatic Magician
123	35498188	Action Magic - Double Banking
124	99004583	Action Magic - Full Turn
125	81555617	Ad Libitum of Despia
126	11302671	Adamancipator Analyzer
127	10286023	Adamancipator Crystal - Dragite
128	47897376	Adamancipator Crystal - Leonite
129	74891384	Adamancipator Crystal - Raptite
130	99927991	Adamancipator Friends
131	46552140	Adamancipator Laputite
132	9341993	Adamancipator Relief
133	85914562	Adamancipator Researcher
134	45730592	Adamancipator Resonance
135	9464441	Adamancipator Risen - Dragite
136	47674738	Adamancipator Risen - Leonite
137	73079836	Adamancipator Risen - Raptite
138	48519867	Adamancipator Seeker
139	72957245	Adamancipator Signs
140	23812568	Additional Mirror Level 7
141	62325062	Adhesion Trap Hole
142	53828396	Adhesive Explosive
143	94119480	"Adreus, Keeper of Armageddon"
144	15464375	Adularia of the June Moon
145	51630558	Advance Draw
146	38589847	Advance Force
147	76224717	Advance Zone
148	18847598	Advanced Crystal Beast Amber Mammoth
149	19963185	Advanced Crystal Beast Amethyst Cat
150	45236142	Advanced Crystal Beast Cobalt Eagle
151	46358784	Advanced Crystal Beast Emerald Tortoise
152	83575471	Advanced Crystal Beast Ruby Carbuncle
153	71620241	Advanced Crystal Beast Sapphire Pegasus
154	72843899	Advanced Crystal Beast Topaz Tiger
155	12644061	Advanced Dark
156	61314842	Advanced Heraldry Art
157	46052429	Advanced Ritual Art
158	10678778	Aegaion the Sea Castrum
159	47060347	Aegis of Gaia
160	7935043	Aegis of the Ocean Dragon Lord
161	28143384	Aerial Eater
162	70875955	Aerial Recharge
163	83094004	Aeropixthree
164	56804361	"Aether, the Empowering Dragon"
165	28865322	"Aether, the Evil Empowering Dragon"
166	82263578	After the Storm
167	25345186	After the Struggle
168	43575579	Afterglow
169	64952266	Against the Wind
170	2411269	Agave Dragon
171	27822206	Ages of Stars and Frost
172	16135253	Agido
173	62320425	Agido the Ancient Sentinel
174	13014905	Agnimal Candle
175	86377375	"Ahrima, the Wicked Warden"
176	96084564	Aileron
177	69023354	Air Armor Ninja
178	98864751	Air Cracking Storm
179	8353769	Air Eater
180	18036057	Airknight Parshath
181	84747429	Airorca
182	48202661	Aitsu
183	35877582	"Aiwass, the Magistus Spell Spirit"
184	63378869	Aiza the Dragoness of Deranged Devotion
185	38035986	Akakieisu
186	28776350	Akashic Magician
187	36904469	Akihiron
188	38837163	"Akz, the Pumer"
189	25795273	Al-Lumi'raj
190	3410461	Alba-Lenatus the Abyss Dragon
191	37683547	Albaz the Ashen
192	87746184	Albion the Branded Dragon
193	38811586	Albion the Sanctifire Dragon
194	25451383	Albion the Shrouded Dragon
195	65301952	Alchemic Magician
196	78121572	Alchemist of Black Spells
197	65384019	Alchemy Cycle
198	17573739	"Alector, Sovereign of Birds"
199	98787535	"Aleirtt, the Ogdoadic Dark"
200	86120751	Aleister the Invoker
201	97973962	Aleister the Invoker of Madness
202	26372118	ALERT!
203	43096270	Alexandrite Dragon
204	45154513	Alghoul Mazera
205	14504454	"Alice, Lady of Lament"
206	47728740	"Alich, Malebranche of the Burning Abyss"
207	652362	Alien Ammonite
208	17490535	Alien Brain
209	15475415	Alien Dog
210	62437709	Alien Grey
211	62315111	Alien Hunter
212	38468214	Alien Hypno
213	76573247	Alien Infiltrator
214	64160836	Alien Kid
215	99532708	Alien Mars
216	24104865	Alien Mother
217	63253763	Alien Overlord
218	58012107	Alien Psychic
219	97127906	Alien Shocktrooper
220	74974229	Alien Shocktrooper M-Frame
221	25920413	Alien Skull
222	58066722	Alien Stealthbuster
223	91070115	Alien Telepath
224	98719226	Alien Warrior
225	70924884	Alinsection
226	70335319	All-Eyes Phantom Dragon
227	30834988	All-Out Attacks
228	64428736	Alligator's Sword
229	3366982	Alligator's Sword Dragon
230	68316358	Allure Dance
231	1475311	Allure of Darkness
232	31322640	Allure Palace
233	87257460	Allure Queen LV3
234	23756165	Allure Queen LV5
235	50140163	Allure Queen LV7
236	92881099	Alluring Mirror Split
237	3544583	Allvain the Essence of Vanity
238	40155554	Ally Mind
239	26593852	Ally of Justice Catastor
240	89386122	Ally of Justice Clausolas
241	36629203	Ally of Justice Core Destroyer
242	8822710	Ally of Justice Cosmic Gateway
243	8233522	Ally of Justice Cycle Reader
244	45586855	Ally of Justice Cyclone Creator
245	9888196	Ally of Justice Decisive Armor
246	45033006	Ally of Justice Enemy Catcher
247	69461394	Ally of Justice Field Marshal
248	25771826	Ally of Justice Garadholg
249	19204398	Ally of Justice Light Gazer
250	76650663	Ally of Justice Nullfier
251	45450218	Ally of Justice Omni-Weapon
252	72845813	Ally of Justice Quarantine
253	55982698	Ally of Justice Reverse Break
254	52265835	Ally of Justice Rudra
255	3648368	Ally of Justice Searcher
256	85876417	Ally of Justice Thousand Arms
257	71438011	Ally of Justice Thunder Armor
258	22371016	Ally of Justice Unknown Crusher
259	82377606	Ally of Justice Unlimiter
260	59482302	Ally Salvo
261	92998610	Aloof Lupine
262	77797992	"Alpacaribou, Mystical Beast of the Forest"
263	73355951	Alpha Summon
264	42023223	Alpha The Electromagnet Warrior
265	99785935	Alpha The Magnet Warrior
266	73304257	"Alpha, the Master of Beasts"
267	10406322	"Alsei, the Sylvan High Protector"
268	21070956	Altar for Tribute
269	61470213	Altergeist Adminia
270	80143954	Altergeist Camouflage
271	21187631	Altergeist Dragvirion
272	86885905	Altergeist Emulatelf
273	98753320	Altergeist Failover
274	12977245	Altergeist Fifinellag
275	85673903	Altergeist Fijialert
276	2547033	Altergeist Haunted Rock
277	1508649	Altergeist Hexstia
278	76685519	Altergeist Kidolga
279	52927340	Altergeist Kunquery
280	27132400	Altergeist Malwisp
281	35146019	Altergeist Manifestation
282	53143898	Altergeist Marionetter
283	25533642	Altergeist Meluseek
284	23790299	Altergeist Memorygant
285	42790071	Altergeist Multifaker
286	54126514	Altergeist Peritrator
287	57769391	Altergeist Pixiel
288	59185998	Altergeist Pookuery
289	93503294	Altergeist Primebanshee
290	27541563	Altergeist Protocol
291	22024279	Altergeist Revitalization
292	89538537	Altergeist Silquitous
293	27632240	Altitude Knight
294	62962630	Aluber the Jester of Despia
295	27024795	Alviss of the Nordic Alfar
296	2139640	Amabie
297	32181268	Amano-Iwato
298	43739056	Amanokujaki
299	18988391	Amarylease
300	20073910	Amaterasu
301	662855	Amatsu-Okami of the Divine Peaks
302	66984907	Amaze Attraction Cyclo-Coaster
303	92650018	Amaze Attraction Horror House
304	29867611	Amaze Attraction Majestic Merry-Go-Round
305	55262310	Amaze Attraction Rapid Racing
306	36591747	Amaze Attraction Thrill Train
307	97182396	Amaze Attraction Viking Vortex
308	93473606	Amaze Attraction Wonder Wheel
309	31600845	Amazement Abomination Arlekino
310	94821366	Amazement Administrator Arlekino
311	30829071	Amazement Ambassador Bufo
312	22662014	Amazement Assistant Delia
313	67314110	Amazement Attendant Comica
314	20989253	Amazement Family Faces
315	33773528	Amazement Precious Park
316	6374519	Amazement Special Show
317	37803970	Amazing Pendulum
318	70389815	Amazing Time Ticket
319	17968114	Amazon of the Seas
320	91869203	Amazoness Archer
321	67987611	Amazoness Archers
322	23965033	Amazoness Augusta
323	10928224	Amazoness Baby Tiger
324	73574678	Amazoness Blowpiper
325	57312333	Amazoness Call
326	29654737	Amazoness Chain Master
327	4591250	Amazoness Empress
328	55821894	Amazoness Fighter
329	36100154	Amazoness Fighting Spirit
330	97692972	Amazoness Golden Whip Master
331	25396150	Amazoness Hall
332	79965360	Amazoness Heirloom
333	62480168	Amazoness Hot Spring
334	83407038	Amazoness Onslaught
335	47480070	Amazoness Paladin
336	68507541	Amazoness Pet Liger
337	59353647	Amazoness Pet Liger King
338	84539520	Amazoness Princess
339	15951532	Amazoness Queen
340	53162898	Amazoness Sage
341	71209500	Amazoness Scouts
342	86758746	Amazoness Secret Arts
343	6459419	Amazoness Shamanism
344	24087580	Amazoness Silver Sword Master
345	81325903	Amazoness Spellcaster
346	97870394	Amazoness Spiritualist
347	31102447	Amazoness Spy
348	94004268	Amazoness Swords Woman
349	10979723	Amazoness Tiger
350	89567993	Amazoness Trainee
351	712559	Amazoness Village
352	50486289	Amazoness War Chief
353	22082163	Amazoness Willpower
354	41224658	Ambitious Gofer
355	98927491	Ambulance Rescueroid
356	36378213	Ambulanceroid
357	77972406	Ambush Fangs
358	101207092	Ame no Murakumo no Mitsurugi
359	95174353	Ameba
360	40213117	Amores of Prophecy
361	98287529	"Amorphactor Pain, the Imagination Dracoverlord"
362	33300669	Amorphage Envy
363	34522216	Amorphage Gluttony
364	69072185	Amorphage Goliath
365	7305060	Amorphage Greed
366	50554729	Amorphage Infection
367	70917315	Amorphage Lechery
368	47598941	Amorphage Lysis
369	6283472	Amorphage Pride
370	32687071	Amorphage Sloth
371	79794767	Amorphage Wrath
372	23160024	Amorphous Persona
373	67371383	Amphibian Beast
374	40173854	Amphibious Bugroth
375	4754691	Amphibious Bugroth MK-11
376	64342551	Amphibious Bugroth MK-3
377	20665527	Amphibious Swarmship Amblowhale
378	303660	Amplifier
379	75380687	Amulet Dragon
380	5183693	Amulet of Ambition
381	61160289	"Amunessia, the Ogdoadic Queen"
382	23927567	An Owl of Luck
383	19763315	An Unfortunate Report
384	80570228	Anarchist Monk of the Six Samurai
385	58324930	Anarchist Monk Ranshin
386	52296675	Anchamoufrite
387	42431843	Ancient Brain
388	78665705	Ancient Chant
389	34487429	Ancient City - Rainbow Ruins
390	50781944	Ancient Crimson Ape
391	38520918	Ancient Dragon
392	93221206	Ancient Elf
393	25862681	Ancient Fairy Dragon
394	26304459	Ancient Flamvell Deity
395	87624166	Ancient Forest
396	300302022	Ancient Fusion
397	31557782	Ancient Gear
398	4064925	Ancient Gear Advance
399	10547580	Ancient Gear Ballista
400	10509340	Ancient Gear Beast
401	60953949	Ancient Gear Box
402	80045583	Ancient Gear Cannon
403	92001300	Ancient Gear Castle
404	44052074	Ancient Gear Catapult
405	27483935	Ancient Gear Commander
406	64603182	Ancient Gear Dark Golem
407	75892194	Ancient Gear Dragon
408	67829249	Ancient Gear Drill
409	53541822	Ancient Gear Duel
410	1953925	Ancient Gear Engineer
411	4446672	Ancient Gear Explosive
412	30435145	Ancient Gear Factory
413	40830387	Ancient Gear Fist
414	70147689	Ancient Gear Fortress
415	1278431	Ancient Gear Frame
416	64061284	Ancient Gear Fusion
417	18486927	Ancient Gear Gadget
418	86321248	Ancient Gear Gadjiltron Chimera
419	50933533	Ancient Gear Gadjiltron Dragon
420	83104731	Ancient Gear Golem
421	95735217	Ancient Gear Golem - Ultimate Pound
422	87182127	Ancient Gear Howitzer
423	42878636	Ancient Gear Hunting Hound
424	81269231	Ancient Gear Hydra
425	39303359	Ancient Gear Knight
426	37663536	Ancient Gear Megaton Golem
427	44874522	Ancient Gear Reactor Dragon
428	47482043	Ancient Gear Reborn
429	56094445	Ancient Gear Soldier
430	32762201	Ancient Gear Statue
431	37457534	Ancient Gear Tank
432	91098230	Ancient Gear Tanker
433	44052075	Ancient Gear Token
434	59811955	Ancient Gear Workshop
435	17663375	Ancient Gear Wyvern
436	81492226	Ancient Jar
437	54912977	Ancient Lamp
438	11830996	Ancient Leaf
439	43230671	Ancient Lizard Warrior
440	14015067	Ancient One of the Deep Forest
441	4179255	Ancient Pixie Dragon
442	300302056	Ancient Ruler Rises
443	10667321	Ancient Rules
444	25958491	Ancient Sacred Wyvern
445	36821538	Ancient Sorcerer
446	17092736	Ancient Telescope
447	49587396	Ancient Tool
448	86421986	Ancient Tree of Enlightenment
449	33545259	Ancient Warriors - Ambitious Cao De
450	6438003	Ancient Warriors - Deceptive Jia Wen
451	13923256	Ancient Warriors - Eccentric Lu Jing
452	60033398	Ancient Warriors - Fearsome Zhang Yuan
453	77539547	Ancient Warriors - Graceful Zhou Gong
454	32422602	Ancient Warriors - Ingenious Zhuge Kong
455	76416959	Ancient Warriors - Loyal Guan Yun
456	40140448	Ancient Warriors - Masterful Sun Mou
457	82791472	Ancient Warriors - Rebellious Lu Feng
458	79582540	Ancient Warriors - Savage Don Ying
459	2801664	Ancient Warriors - Valiant Zhang De
460	40428851	Ancient Warriors - Virtuous Liu Xuan
461	65711558	Ancient Warriors Oath - Double Dragon Lords
462	33609093	Ancient Warriors Saga - Borrowing of Arrows
463	82255872	Ancient Warriors Saga - Chivalrous Path
464	45115956	Ancient Warriors Saga - Deception and Betrayal
465	4810585	Ancient Warriors Saga - Defense of Changban
466	62528292	Ancient Warriors Saga - East-by-South Winds
467	58116537	Ancient Warriors Saga - Sun-Liu Alliance
468	11711438	Ancient Warriors Saga - Three Visits
469	47594939	And the Band Played On
470	15013468	Andro Sphinx
471	53266486	Anesthrokket Dragon
472	82243738	Angel O1
473	56784842	Angel O7
474	91706817	Angel of Blue Tears
475	42216237	Angel of Zera
476	44822037	Angel Statue - Azurune
477	87979586	Angel Trumpeter
478	36320744	"Angelica, Princess of Noble Arms"
479	40678060	Angelica's Angelic Ring
480	3048768	Angello Vaalmonica
481	65612386	Angmarl the Fiendish Monarch
482	73979030	Angraecum Umbrella
483	98022050	Animadorned Archosaur
484	595626	Ankuriboh
485	29603180	Annihilator Archfiend
486	47484352	Anotherverse Dragon
487	86893702	Anotherverse Gluttonia
488	63028558	Anotherverse Solaria
489	48365709	Ansatsu
490	34236961	Ante
491	13250922	Anteatereatingant
492	89904598	Anthrosaurus
493	42364257	Anti Raigeki
494	65064143	Anti-Aircraft Flower
495	72150572	Anti-Fusion Device
496	97120394	Anti-Magic Arrows
497	20138923	Anti-Magic Prism
498	53112492	Anti-Spell
499	58921041	Anti-Spell Fragrance
500	43583400	Antialian
501	31539614	Antidote Nurse
502	58844135	Antihuman Intelligence ME-PSY-YA
503	41098335	Ape Fighter
504	31975743	Ape Magician
505	25573115	Apex Predation
506	41158734	Apocatequil
507	4280258	"Apollousa, Bow of the Goddess"
508	85888377	Apophis the Swamp Deity
509	40061558	Apoqliphort Skybase
510	27279764	Apoqliphort Towers
511	91392974	Apparition
512	56132807	Apple Magician Girl
513	43341600	Apple of Enlightenment
514	5846183	Appliancer Breakerbuncle
515	78225596	Appliancer Celtopus
516	27157996	Appliancer Conversion
517	41830887	Appliancer Copybokkle
518	3507053	Appliancer Dryer Drake
519	3875465	Appliancer Electrilyrical World
520	4729591	Appliancer Kappa Scale
521	77102944	Appliancer Laundry Dragon
522	81769387	Appliancer Propelion
523	30996652	Appliancer Reuse
524	78447174	Appliancer Socketroll
525	66380357	Appliancer Test
526	30118200	Appliancer Vacculephant
527	43262273	Appointer of the Red Lotus
528	30603688	Apprentice Illusion Magician
529	9156135	Apprentice Magician
530	64977888	Apprentice Piper
531	48539234	Appropriate
532	96427353	Aqua Armor Ninja
533	95132338	Aqua Chorus
534	59131526	Aqua Chorus Round
535	86164529	Aqua Dragon
536	7653207	Aqua Jet
537	32278723	Aqua Jet Surface
538	85639257	Aqua Madoor
539	12436646	Aqua Snake
540	40916023	Aqua Spirit
541	28325165	Aqua Story - Urashima
542	92053608	Aquaactress Arowana
543	66668900	Aquaactress Guppy
544	39260991	Aquaactress Tetra
545	78910579	Aquamirror Cycle
546	64437633	Aquamirror Illusion
547	46337945	Aquamirror Meditation
548	22377815	Aquarian Alessa
549	91831066	Aquarium Lighting
550	65446452	Aquarium Set
551	29047353	Aquarium Stage
552	75771170	Arahime the Manifested Mikanko
553	16889337	Aratama
554	57964143	Arbitration of White
555	64276752	Arc Rebellion Xyz Dragon
556	99189322	Arcana Call
557	64454614	Arcana Extra Joker
558	62892347	Arcana Force 0 - The Fool
559	12686296	Arcana Force EX - The Chaos Ruler
560	69831560	Arcana Force EX - The Dark Ruler
561	5861892	Arcana Force EX - The Light Ruler
562	8396952	Arcana Force I - The Magician
563	35781051	Arcana Force III - The Empress
564	61175706	Arcana Force IV - The Emperor
565	3376703	Arcana Force V - The Hierophant
566	97574404	Arcana Force VI - The Lovers
567	34568403	Arcana Force VII - The Chariot
568	60953118	Arcana Force XIV - Temperance
569	39761418	Arcana Force XIX - The Sun
570	59712426	Arcana Force XV - The Fiend
571	97452817	Arcana Force XVIII - The Moon
572	23846921	Arcana Force XXI - The World
573	6150044	Arcana Knight Joker
574	11819473	Arcana Reading
575	76302448	Arcana Spread
576	93880808	Arcana Triumph Joker
577	40048324	Arcane Apprentice
578	55001420	Arcane Archer of the Forest
579	17896384	Arcane Barrier
580	31924889	Arcanite Magician
581	14553285	Arcanite Magician/Assault Mode
582	45349196	Archfiend Black Skull Dragon
583	92039899	Archfiend Cavalry
584	68371799	Archfiend Commander
585	57624336	Archfiend Eccentrick
586	28423537	"Archfiend Emperor, the First Lord of Horror"
587	31766317	Archfiend Empress
588	48675364	Archfiend General
589	84341431	Archfiend Giant
590	66540884	Archfiend Heiress
591	14430063	Archfiend Interceptor
592	75889523	Archfiend Marmot of Nefariousness
593	15150371	Archfiend Mirror
594	50287060	Archfiend of Gilfer
595	63883999	Archfiend Palabyrinth
596	49881766	Archfiend Soldier
597	59969392	Archfiend Zombie-Skull
598	53008933	Archfiend's Advent
599	61248471	Archfiend's Ascent
600	95825679	Archfiend's Awakening
601	64635042	Archfiend's Call
602	300302057	Archfiend's Conscription
603	5168381	Archfiend's Ghastly Glitch
604	32775808	Archfiend's Manifestation
605	22796548	Archfiend's Oath
606	300302058	Archfiend's Promotion
607	56246017	Archfiend's Roar
608	21438286	Archfiend's Staff of Despair
609	59509952	Archlord Kristya
610	18378582	Archlord Zerato
611	33212663	Archnemeses Eschatos
612	6728559	Archnemeses Protos
613	38173725	Arcjet Lightcraft
614	91438674	Argostars - Glorious Adra
615	2674965	Argostars - Home Stadium
616	65889305	Argostars - Lightning Tydeu
617	38379052	Argostars - Slayer Eteo
618	91284003	Argostars - Swift Capane
619	40502912	Aria the Melodious Diva
620	75730490	Ariane the Labrynth Servant
621	1225009	Arianna the Labrynth Servant
622	73602965	Arias the Labrynth Butler
623	56827051	"Ariel, Priestess of the Nekroz"
624	65910922	"Arionpos, Serpent of the Ghoti"
625	29904964	Arisen Gaia the Fierce Knight
626	33282498	Arkbrave Dragon
627	50687050	Arktos XII - Chronochasm Vaylantz
628	14708569	Arlownay
629	36151751	Arma Knight
630	88033975	"Armades, Keeper of Boundaries"
631	28493337	Armageddon Designator
632	28985331	Armageddon Knight
633	53153481	Armaill
634	300302023	Armed and Ready!
635	90374791	Armed Changer
636	61606250	Armed Dragon Blitz
637	75906310	Armed Dragon Catapult Cannon
638	34611551	Armed Dragon Flash
639	97091969	Armed Dragon Lightning
640	59464593	Armed Dragon LV10
641	84425220	Armed Dragon LV10 White
642	980973	Armed Dragon LV3
643	46384672	Armed Dragon LV5
644	73879377	Armed Dragon LV7
645	58153103	Armed Dragon Thunder LV10
646	57030525	Armed Dragon Thunder LV3
647	21546416	Armed Dragon Thunder LV5
648	94141712	Armed Dragon Thunder LV7
649	57605303	Armed Dragon Thunderbolt
650	75220074	"Armed Dragon, the Armored Dragon"
651	31817415	Armed Neos
652	9076207	Armed Ninja
653	29330706	Armed Protector Dragon
654	21056275	Armed Rebeellion
655	84430950	Armed Samurai - Ben Kei
656	20470500	Armed Sea Hunter
657	36768783	"Armillyre, the Starleader Dragon"
658	43378048	Armityle the Chaos Phantasm
659	60110982	Armityle the Chaos Phantasm - Phantom of Fury
660	79155167	Armor Blast
661	79649195	Armor Break
662	87798440	Armor Breaker
663	58827995	Armor Dragon Ritual
664	7180418	Armor Exe
665	16272453	Armor Ninjitsu Art of Alchemy
666	65150219	Armor Ninjitsu Art of Freezing
667	2148918	Armor Ninjitsu Art of Rust Mist
668	62742651	Armored Axon Kicker
669	86915847	Armored Bee
670	29374928	Armored Bitron
671	67159705	Armored Cybern
672	36868108	Armored Glass
673	50789693	Armored Kappa
674	15480588	Armored Lizard
675	16246527	Armored Rat
676	27480536	Armored Shark
677	17535588	Armored Starfish
678	17170970	Armored White Bear
679	73046708	Armored Xyz
680	20277860	Armored Zombie
681	73333463	Armoroid
682	29071332	Armory Arm
683	38960450	Armory Call
684	61775475	Arms of Genex Return Zero
685	32549749	Arms Regeneration
686	22493812	Army Ant Token
687	29687169	"Arnis, the Empowered Warrior"
688	25861589	Aroma Blend
689	5050644	Aroma Garden
690	29189613	Aroma Gardening
691	12804701	Aroma Healing
692	21452275	Aroma Jar
693	300202007	Aroma Strategy
694	85967160	Aromage Bergamot
695	22174866	Aromage Cananga
696	96789758	Aromage Jasmine
697	14169843	Aromage Laurel
698	40663548	Aromage Marjoram
699	58569561	Aromage Rosemary
700	73167098	Aromalilith Magnolia
701	24689197	Aromalilith Rosalina
702	30989084	Aromalilith Rosemary
703	16759958	Aromaseraphy Angelica
704	21200905	Aromaseraphy Jasmine
705	38148100	Aromaseraphy Rosemary
706	79656239	Aromaseraphy Sweet Marjoram
707	34172284	"Aron, the Ogdoadic King"
708	69296555	Array of Revealing Light
709	29508346	Arrivalrivals
710	365213	Arrive in Light
711	42364374	Arsenal Bug
712	55348096	Arsenal Robber
713	85489096	Arsenal Summoner
714	34755994	"Artemis, the Magistus Moon Maiden"
715	11475049	Artifact Achilleshield
716	85080444	Artifact Aegis
717	12697630	Artifact Beagalltach
718	84268896	Artifact Caduceus
719	8873112	Artifact Chakram
720	7480763	Artifact Dagda
721	69840739	Artifact Durendal
722	48086335	Artifact Failnaught
723	29223325	Artifact Ignition
724	47863787	Artifact Labrys
725	34267821	Artifact Lancea
726	80237445	Artifact Mjollnir
727	85103922	Artifact Moralltach
728	12444060	Artifact Sanctum
729	20292186	Artifact Scythe
730	69304426	Artifact Vajra
731	56611470	Artifacts Unleashed
732	7913375	Artillery Catapult Turtle
733	21223277	"Artorigus, King of the Noble Knights"
734	71821687	"Ascator, Dawnwalker"
735	88301833	Ascending Soul
736	37910722	Ascension Sky Dragon
737	27821104	Asceticism of the Six Samurai
738	14558127	Ash Blossom & Joyous Spring
739	66848311	Ashened for Eternity
740	34813443	Ashened to Endlessness
741	58996839	Ashoka Pillar
742	80993256	Ashura King
743	46815301	"Askaan, the Bicorned Ghoti"
744	99657399	Asleep at the Switch
745	85771020	Asmo Token
746	88190790	Assault Armor
747	3431737	Assault Beast
748	23338098	Assault Blackwing - Chidori the Rain Sprinkling
749	70456282	Assault Blackwing - Kunai the Drizzle
750	80773359	Assault Blackwing - Onimaru the Divine Thunder
751	16051717	Assault Blackwing - Raikiri the Rain Shower
752	17994645	Assault Blackwing - Sayo the Rain Hider
753	53389254	Assault Blackwing - Sohaya the Rain Storm
754	76407432	Assault Counter
755	72714226	Assault Dog
756	77036039	Assault Mercenary
757	80280737	Assault Mode Activate
758	88332693	Assault Mode Zero
759	62633180	Assault on GHQ
760	93469007	Assault Overload
761	74431740	Assault Reboot
762	56252810	Assault Revival
763	39015	Assault Sentinel
764	40012727	Assault Slash
765	87043568	Assault Spirits
766	77202120	Assault Synchron
767	29863101	Assault Teleport
768	29311166	Assault Wyvern
769	98520301	Asset Mountis
770	25592142	Astellar of the White Forest
771	69170403	Astra Ghouls
772	37053871	Astral Barrier
773	64591429	Astral Kuriboh
774	69852487	Astraltopia
775	76794549	Astrograph Sorcerer
776	2134346	Asura Priest
777	88236094	Aswan Apparition
778	66719533	Asymmetaphys
779	6112401	At One With the Sword
780	48964966	Athena
781	8078366	Atlantean Attack Squad
782	74311226	Atlantean Dragoons
783	37104630	Atlantean Heavy Infantry
784	706925	Atlantean Marksman
785	26976414	Atlantean Pikeman
786	87340664	Atomic Firefly
787	92361635	Atomic Scrap Dragon
